,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,SIC: employer social insurance contribution,,,,,
,,#1_amount,133,,0.06,0.06,0.06,0.06,0.06,
,,output_var,134,,tscerhe_s,tscerhe_s,tscerhe_s,tscerhe_s,tscerhe_s,
,,TAX_UNIT,135,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,136,,off,off,off,off,off,
,,who_must_be_elig,137,,one,one,one,one,one,
,,formula,138,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,139,,0.1027,0.1027,0.1027,0.1027,0.1027,
,,output_add_var,140,,tscerhe_s,tscerhe_s,tscerhe_s,tscerhe_s,tscerhe_s,
,,TAX_UNIT,141,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,142,,on,on,on,on,on,
,,elig_cond,143,,{IsCivilServant},{IsCivilServant},{IsCivilServant},{IsCivilServant},{IsCivilServant},
,,TAX_UNIT,144,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,145,,off,off,off,off,off,
,,who_must_be_elig,146,,one,one,one,one,one,
,,formula,147,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,148,,0.2,0.2,0.2,0.2,0.2,
,,output_add_var,149,,tscerpi_s,tscerpi_s,tscerpi_s,tscerpi_s,tscerpi_s,
,,TAX_UNIT,150,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,151,,off,off,off,off,off,
,,who_must_be_elig,152,,one,one,one,one,one,
,,formula,153,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,154,,0.038,0.038,0.038,0.038,0.038,
,,output_add_var,155,,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,
,,TAX_UNIT,156,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,157,,off,off,off,off,off,
,,who_must_be_elig,158,,one,one,one,one,one,
,,formula,159,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,160,,0.0525,0.0525,0.0525,0.0525,0.0525,
,,output_add_var,161,,tscerfa_s,tscerfa_s,tscerfa_s,tscerfa_s,tscerfa_s,
,,TAX_UNIT,162,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,163,,off,off,off,off,off,
,,who_must_be_elig,164,,one,one,one,one,one,
,,formula,165,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,166,,0.0017,0.0017,0.0017,0.0017,0.0017,
,,output_add_var,167,,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,
,,TAX_UNIT,168,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,169,,off,off,off,off,off,
,,who_must_be_elig,170,,one,one,one,one,one,
,,formula,171,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,172,,0.0748,0.0748,0.0748,0.0748,0.0748,
,,output_add_var,173,,tscersf_s,tscersf_s,tscersf_s,tscersf_s,tscersf_s,
,,TAX_UNIT,174,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,175,,off,off,off,off,off,
,,who_must_be_elig,176,,one,one,one,one,one,
,,formula,177,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,178,,0.0005,0.0005,0.0005,0.0005,0.0005,
,,output_add_var,179,,tscerdc_s,tscerdc_s,tscerdc_s,tscerdc_s,tscerdc_s,
,,TAX_UNIT,180,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,181,,on,on,on,on,on,
,,who_must_be_elig,182,,one,one,one,one,one,
,,formula,183,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,184,,0.038,0.038,0.038,0.038,0.038,
,,output_add_var,185,,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,
,,TAX_UNIT,186,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,187,,on,on,on,on,on,
,,formula,188,,tscerpi_s+tscerhl_s+tscerdi_s+tscerui_s+tscerfa_s+tscerac_s+tscered_s+tscerir_s+tscerdc_s+tscersf_s+tscerei_s,tscerpi_s+tscerhl_s+tscerdi_s+tscerui_s+tscerfa_s+tscerac_s+tscered_s+tscerir_s+tscerdc_s+tscersf_s+tscerei_s,tscerpi_s+tscerhl_s+tscerdi_s+tscerui_s+tscerfa_s+tscerac_s+tscered_s+tscerir_s+tscerdc_s+tscersf_s+tscerei_s,tscerpi_s+tscerhl_s+tscerdi_s+tscerui_s+tscerfa_s+tscerac_s+tscered_s+tscerir_s+tscerdc_s+tscersf_s+tscerei_s,tscerpi_s+tscerhl_s+tscerdi_s+tscerui_s+tscerfa_s+tscerac_s+tscered_s+tscerir_s+tscerdc_s+tscersf_s+tscerei_s,
,,output_var,189,,tscer_s,tscer_s,tscer_s,tscer_s,tscer_s,
,,TAX_UNIT,190,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_BenCalc,191,,on,on,on,on,on,
,,base_amount,192,,400#q,400#q,400#q,400#q,400#q,
,,comp1_cond,193,,{yem>0} & !{IsCivilServant} & {yemeq_s>=amount#1} & {yemeq_s<=amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>=amount#1} & {yemeq_s<=amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>=amount#1} & {yemeq_s<=amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>=amount#1} & {yemeq_s<=amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>=amount#1} & {yemeq_s<=amount#2},
,,comp1_perElig,194,,base_amount,base_amount,base_amount,base_amount,base_amount,
,,comp2_cond,195,,{yem>0} & !{IsCivilServant} & {yemeq_s<amount#1},{yem>0} & !{IsCivilServant} & {yemeq_s<amount#1},{yem>0} & !{IsCivilServant} & {yemeq_s<amount#1},{yem>0} & !{IsCivilServant} & {yemeq_s<amount#1},{yem>0} & !{IsCivilServant} & {yemeq_s<amount#1},
,,comp2_perElig,196,,base_amount+amount#3*(amount#1-yemeq_s),base_amount+amount#3*(amount#1-yemeq_s),base_amount+amount#3*(amount#1-yemeq_s),base_amount+amount#3*(amount#1-yemeq_s),base_amount+amount#3*(amount#1-yemeq_s),
,,comp3_cond,197,,{yem>0} & !{IsCivilServant} & {yemeq_s>amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>amount#2},{yem>0} & !{IsCivilServant} & {yemeq_s>amount#2},
,,comp3_perElig,198,,base_amount+amount#4*(yemeq_s-amount#2),base_amount+amount#4*(yemeq_s-amount#2),base_amount+amount#4*(yemeq_s-amount#2),base_amount+amount#4*(yemeq_s-amount#2),base_amount+amount#4*(yemeq_s-amount#2),
,,#1_amount,199,,5870.71#q,5870.71#q,5870.71#q,5870.71#q,5870.71#q,
,,#2_amount,200,,12000#q,12000#q,12000#q,12000#q,12000#q,
,,#3_amount,201,,0.1444,0.1444,0.1444,0.1444,0.162,
,,#4_amount,202,,0.06,0.06,0.06,0.06,0.06,
,,output_var,203,,sin02_s,sin02_s,sin02_s,sin02_s,sin02_s,
