Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
psuwd00	add	1/18/2010										
psuot	add	1/18/2010										
psuwdcm_s	add	1/18/2010										
tintbit_s	add	1/18/2010										
tintbjt_s	add	1/18/2010										
tingt_s	add	1/18/2010										
tingtit_s	add	1/18/2010										
tingtjt_s	add	1/18/2010										
psuwdcm	add	1/18/2010										
poamy	add	1/18/2010										
psumy	add	1/18/2010										
twl	add	1/18/2010										
poanc_s	add	1/18/2010										
ysv	add	1/18/2010										
bchdi_s	add	1/18/2010										
bchrg_s	add	1/18/2010										
bsarg_s	add	1/18/2010										
tintcbarg_s	add	1/18/2010										
tintcdbrg_s	add	1/18/2010										
tintcoarg_s	add	1/18/2010										
tintcit_s	add	1/18/2010										
tintcjt_s	add	1/18/2010										
yemxm_s	add	1/18/2010										
liwft_s	add	1/18/2010										
tintcot_s	add	1/18/2010										
tintcrt_s	add	1/18/2010										
tscermy_s	delete	1/18/2010										
tsctber_s	delete	1/18/2010										
aldagar	add	1/25/2010										
aldiv_s	add	1/25/2010										
aldmv_s	add	1/25/2010										
amrmv_s	add	1/25/2010										
amriv_s	add	1/25/2010										
amrmv	add	1/25/2010										
bchor	add	1/25/2010										
bmact_s	add	1/25/2010										
bmaprct_s	add	1/25/2010										
bmaprnc_s	add	1/25/2010										
boa	add	1/25/2010										
bplct_s	add	1/25/2010										
bsu	add	1/25/2010										
drgur	add	1/25/2010										
sel01_s	add	1/25/2010										
srr_s	add	1/25/2010										
amrtp	add	1/25/2010										
dqb	add	1/25/2010										
lbl	add	1/25/2010										
lpmfc	add	3/2/2010										
lpmfr	add	3/2/2010										
lochz	add	3/2/2010										
lcd01	add	3/2/2010										
lcd02	add	3/2/2010										
lcd03	add	3/2/2010										
lcd04	add	3/2/2010										
lcd05	add	3/2/2010										
bfalg	add	3/2/2010										
pfa	add	3/2/2010										
bchlg	add	3/2/2010										
bchlg_s	change	3/2/2010										
bfawc	add	3/2/2010										
bfawc_s	add	3/2/2010										
bfacs	add	3/2/2010										
bfaot	add	3/2/2010										
bunot	add	3/2/2010										
poaot	add	3/2/2010										
boact	add	3/2/2010										
boact_s	add	3/2/2010										
boanc	add	3/2/2010										
boanc_s	add	3/2/2010										
bsaot	add	3/2/2010										
amoyl	add	3/2/2010										
amolv	add	3/2/2010										
xmpam	add	3/2/2010										
xmpot	add	3/2/2010										
tsceefa_s	add	3/2/2010										
tscbesi_s	add	3/2/2010										
tscseot_s	add	3/2/2010										
tscfrpi_s	add	3/2/2010										
tscfrsi_s	add	3/2/2010										
tintcmp_s	add	3/2/2010										
dhr	add	3/4/2010										
lim	add	3/4/2010										
lhw00	add	3/4/2010										
lhw01	add	3/4/2010										
lle	add	3/16/2010										
yiytx	add	3/16/2010										
yls	add	3/16/2010										
bdioa	add	3/16/2010										
bdisc	add	3/16/2010										
bdimb	add	3/16/2010										
bdict	add	3/16/2010										
