idhh	idperson	idfather	idmother	idpartner	idorighh	idorigperson	dag	dgn	dms	dcz	ddi	ddt	dwt	dsu00	dsu01	dsu02	dct	dec	deh	dey	dew	drgn1	dcu	les	lcs	lfs	lin	lindi	liwmy	lhw	liwwh	loc	lpemy	lse	lunmy	lowas	yivwg	yem	kfb	ypp	yse	bed	bun	phl	pdi	poa	psu	kivho	yiy	yprrt	ypr	ypt	bsa	bho	tpr	yot	yds	tad	bch00	bchba	bch	bma	bfapl	khooo	yemmy	kfbmy	ysemy	bunmy	pdimy	phlmy	poamy	psumy	tis	byr	byrmy	amrrm	amrtn	afc	xmp	xpp	xhc	xhcrt	xhcmomi	xhcmomc	amoyl	amolv	xhcot
2865	286504	286501	286502	0	2865	286504	15	0	1	2	-1	22008	754.0655	0	0	0	2	4	2	9	2007	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4012.412	0	0	7	2	0	0	0	0	0	0	0	0	0	0
2865	286505	286501	286502	0	2865	286505	9	0	1	2	-1	22008	754.0655	0	0	0	2	2	0	0	-1	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4012.412	0	0	7	2	0	0	0	0	0	0	0	0	0	0
2866	286601	0	0	286602	2866	286601	49	1	2	1	0	22008	327.7482	0	0	0	2	0	5	16	1983	2	0	3	1	50	3	9	12	43	288	1	0	0	0	0	34.40876	6411.5	70	0	0	0	0	0	0	0	0	241.2372	62.5	0	0	0	0	0	0	0	5632.161	0	0	0	0	0	0	38.125	12	12	0	0	0	0	0	0	3784.256	0	0	8	1	21428.57	0	0	262.6339	0	124.25	362.25	1994	135000	138.3839
2866	286602	0	0	286601	2866	286602	45	0	2	1	0	22008	327.7482	0	0	0	2	0	5	16	1983	2	0	3	1	7	3	10	11	34	288	2	0	0	0	0	19.84307	2679.917	0	0	0	0	0	0	0	0	0	241.2372	62.5	0	0	0	0	0	0	0	0	0	200	0	200	0	0	38.125	11	0	0	0	0	0	0	0	3784.256	0	0	8	1	21428.57	0	0	262.6339	0	124.25	362.25	1994	135000	138.3839
2866	286603	286601	286602	0	2866	286603	17	0	1	1	0	22008	327.7482	0	0	0	2	4	2	9	2006	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	9.413609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3784.256	0	0	8	1	0	0	0	0	0	0	0	0	0	0
2866	286604	286601	286602	0	2866	286604	15	1	1	1	-1	22008	327.7482	0	0	0	2	4	2	9	2007	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	3784.256	0	0	8	1	0	0	0	0	0	0	0	0	0	0
2867	286701	0	0	286702	2867	286701	63	1	2	1	0	22008	605.84	0	0	0	2	0	5	16	1976	2	0	4	0	0	0	0	0	0	444	-1	12	0	0	0	22.3481	0	0	0	0	0	0	0	0	1734.179	0	153.4862	104.1667	0	0	0	0	0	0	0	1888.641	0	0	0	0	0	0	42.375	0	0	0	0	0	0	12	0	115.2886	0	0	6	2	35714.29	0	0	184.8642	0	0	0	0	0	184.8642
2867	286702	0	0	286701	2867	286702	58	0	2	1	0	22008	605.84	0	0	0	2	0	1	6	1964	2	0	9	0	5	3	4	0	96	60	5	0	0	0	0	.1476362	61.41667	0	0	0	0	0	0	0	0	0	153.4862	104.1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.375	12	0	0	0	0	0	0	0	115.2886	0	0	6	2	35714.29	0	0	184.8642	0	0	0	0	0	184.8642
2868	286801	0	0	0	2868	286801	32	1	1	1	0	22008	788.3518	0	0	0	2	0	5	16	1999	2	0	3	0	50	3	3	12	48	96	2	0	0	0	0	22.77019	4736.2	139.23	0	0	0	0	0	0	0	0	399.0511	308.3333	0	0	3750	0	0	0	0	6882.42	0	0	0	0	0	0	88.83334	12	12	0	0	0	0	0	0	1912.113	0	0	5	1	105714.3	0	0	438.2225	0	293.75	356.25	2006	100000	144.4725
2869	286901	0	0	0	2869	286901	59	1	4	1	0	22008	500.2798	0	0	0	2	0	5	16	1969	2	0	4	1	5	3	4	8	47	456	3	0	0	4	0	16.69658	2267.025	0	0	0	0	0	0	0	0	0	273.6324	33.33333	0	0	0	0	0	0	0	2054.533	0	0	0	0	0	0	70.16666	8	0	0	0	0	0	0	0	952.4916	706.6667	4	5	1	11428.57	0	0	517.7586	0	159.0833	252.9167	2002	50000	358.6753
