	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		func_BenCalc	67		on	on	on	on	on	on	
		who_must_be_elig	68		one	one	one	one	one	one	
		comp1_cond	69		{sin05_s=2}	{sin05_s=2}	{sin05_s=2}	{sin05_s=2}	{sin05_s=2}	{sin05_s=2}	
		comp1_perElig	70		$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	
		comp2_cond	71		{sin05_s=1} & {dag<18}	{sin05_s=1} & {dag<18}	{sin05_s=1} & {dag<18}	{sin05_s=1} & {dag<18}	{sin05_s=1} & {dag<18}	{sin05_s=1} & {dag<18}	
		comp2_perElig	72		$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	
		comp3_cond	73		{sin05_s=1} & {dag>=18} & {dag<21}	{sin05_s=1} & {dag>=18} & {dag<21}	{sin05_s=1} & {dag>=18} & {dag<21}	{sin05_s=1} & {dag>=18} & {dag<21}	{sin05_s=1} & {dag>=18} & {dag<21}	{sin05_s=1} & {dag>=18} & {dag<21}	
		comp3_perElig	74		$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	
		comp4_cond	75		{sin05_s=1} & {dag>=21}	{sin05_s=1} & {dag>=21}	{sin05_s=1} & {dag>=21}	{sin05_s=1} & {dag>=21}	{sin05_s=1} & {dag>=21}	{sin05_s=1} & {dag>=21}	
		comp4_perElig	76		$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	
