,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,TAX: income Tax,,,,,
,,const43_name,,,$IT_MarrQuotRate,$IT_MarrQuotRate,$IT_MarrQuotRate,$IT_MarrQuotRate,$IT_MarrQuotRate,
,,const43_amount,,,0.3,0.3,0.3,0.3,@_IT_MarrQuotRate_@,# -- should default to 0.3 current backend mapping = 0.3
,,const44_name,,,$IT_MarrQuotUpLim,$IT_MarrQuotUpLim,$IT_MarrQuotUpLim,$IT_MarrQuotUpLim,$IT_MarrQuotUpLim,
,,const44_amount,,,8160#y,8570#y,8720#y,8880#y,@_IT_MarrQuotUpLim_@#y,# -- should default to 9280#y current backend mapping = 9280.0
,,const45_name,,,$IT_TrRateSE,$IT_TrRateSE,$IT_TrRateSE,$IT_TrRateSE,$IT_TrRateSE,
,,const45_amount,,,0.3,0.3,0.3,0.3,0.3,
,,const46_name,,,$IT_TrSEIncLimSp,$IT_TrSEIncLimSp,$IT_TrSEIncLimSp,$IT_TrSEIncLimSp,$IT_TrSEIncLimSp,
,,const46_amount,,,10820#y,11120#y,11320#y,11530#y,12040#y,
,,func_ArithOp,,,on,on,on,on,on,
,,formula,,,0,0,0,0,0,
,,output_var,,,tintasp_s,tintasp_s,tintasp_s,tintasp_s,tintasp_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,,,on,on,on,on,on,
,,formula,,,0,0,0,0,0,
,,output_var,,,tintals_s,tintals_s,tintals_s,tintals_s,tintals_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,,,off,on,on,on,on,
,,formula,,,0,0,0,0,0,
,,output_var,,,tintahm_s,tintahm_s,tintahm_s,tintahm_s,tintahm_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,,,off,on,on,on,on,
,,formula,,,0,0,0,0,0,
,,output_var,,,tintami_s,tintami_s,tintami_s,tintami_s,tintami_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Elig,,,on,on,on,on,on,
,,elig_cond,,,(({dms=2} | {dcu=1}) & {idpartner!=0}) & ({les=10} & {GetPartnerIncome#1>0} & {GetPartnerIncome#2<=0}) & {il_earnedY<=$IT_TrSEIncLimSp},(({dms=2} | {dcu=1}) & {idpartner!=0}) & ({les=10} & {GetPartnerIncome#1>0} & {GetPartnerIncome#2<=0}) & {il_earnedY<=$IT_TrSEIncLimSp},(({dms=2} | {dcu=1}) & {idpartner!=0}) & ({les=10} & {GetPartnerIncome#1>0} & {GetPartnerIncome#2<=0}) & {il_earnedY<=$IT_TrSEIncLimSp},(({dms=2} | {dcu=1}) & {idpartner!=0}) & ({les=10} & {GetPartnerIncome#1>0} & {GetPartnerIncome#2<=0}) & {il_earnedY<=$IT_TrSEIncLimSp},(({dms=2} | {dcu=1}) & {idpartner!=0}) & ({les=10} & {GetPartnerIncome#1>0} & {GetPartnerIncome#2<=0}) & {il_earnedY<=$IT_TrSEIncLimSp},
,,#1_income,,,yse,yse,yse,yse,yse,
,,#2_income,,,yem,yem,yem,yem,yem,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,,,on,on,on,on,on,
,,who_must_be_elig,,,one,one,one,one,one,
,,formula,,,$IT_TrRateSE*(GetPartnerIncome#1),$IT_TrRateSE*(GetPartnerIncome#1),$IT_TrRateSE*(GetPartnerIncome#1),$IT_TrRateSE*(GetPartnerIncome#1),$IT_TrRateSE*(GetPartnerIncome#1),
,,#1_income_il,,,il_netprofY,il_netprofY,il_netprofY,il_netprofY,il_netprofY,
,,output_var,,,sin03_s,sin03_s,sin03_s,sin03_s,sin03_s,
,,TAX_UNIT,,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_Allocate,,,on,on,on,on,on,
,,share_var,,,sin03_s,sin03_s,sin03_s,sin03_s,sin03_s,
